edad,ingreso_mensual,antiguedad_anios,ciudad,churn
69.0,3881.0646523978407,1.0,Bogota,0
51.0,2439.0526704086083,11.0,Bogota,1
54.0,,11.0,Bogota,0
66.0,3317.85608682632,2.0,Barranquilla,0
49.0,1816.8485537376603,5.0,Medellin,0
59.0,4324.233874602609,13.0,Medellin,0
63.0,4497.53643997035,12.0,Barranquilla,0
30.0,3140.7755845998136,8.0,Medellin,1
20.0,2953.475355044912,14.0,Bogota,1
34.0,3056.119730626427,4.0,Medellin,0
33.0,2322.3629094991284,12.0,Medellin,1
65.0,4188.728083781226,14.0,Bogota,0
67.0,2711.397261442832,8.0,Cali,0
18.0,3153.928628577491,2.0,,1
44.0,2486.033237117261,4.0,Barranquilla,1
62.0,2636.5342102518225,7.0,Barranquilla,1
25.0,2050.0473635139465,4.0,Medellin,1
61.0,4331.362382342953,1.0,Cali,0
24.0,3061.321184114588,2.0,Barranquilla,1
43.0,4069.329456855928,14.0,Bogota,0
62.0,3211.9921372219337,5.0,Bogota,0
34.0,2575.0368250673955,8.0,Bogota,0
36.0,2905.983265997973,6.0,Bogota,1
33.0,2695.7920545473903,12.0,Medellin,1
56.0,3207.1631892664223,1.0,Barranquilla,0
31.0,2862.2598442907397,4.0,Barranquilla,1
71.0,2930.0704556523815,8.0,Medellin,1
42.0,1959.2827842776776,12.0,Medellin,1
43.0,2473.8386651409915,6.0,Barranquilla,0
45.0,4688.651793920387,10.0,,0
49.0,2595.8901053734544,12.0,Medellin,1
47.0,2251.3155911388567,9.0,Cali,1
45.0,3503.593699317528,12.0,Cali,0
71.0,4466.544979600879,14.0,Cali,0
61.0,1891.3781277669127,3.0,Barranquilla,1
60.0,3012.3303365738566,6.0,Barranquilla,0
55.0,2631.152701458583,3.0,Medellin,0
51.0,1615.0824731053374,6.0,Barranquilla,1
36.0,3861.4340383325525,0.0,Bogota,0
71.0,3178.90047330064,10.0,Medellin,1
43.0,3264.297659863345,3.0,Bogota,0
29.0,2522.91967479897,12.0,Medellin,1
63.0,3609.305746697225,10.0,Barranquilla,0
26.0,2714.632385461411,5.0,Medellin,1
64.0,3071.387112352915,6.0,Bogota,1
51.0,2202.5652870366384,10.0,Medellin,1
24.0,2105.507515812624,6.0,Bogota,1
20.0,4401.97866977002,3.0,Bogota,0
42.0,2743.605765915372,0.0,Medellin,1
19.0,3462.512320720222,8.0,Medellin,1
25.0,,7.0,Bogota,1
45.0,2802.969317514034,11.0,Cali,0
70.0,2742.8351266965024,1.0,Medellin,0
43.0,3767.0743323010274,0.0,Bogota,0
61.0,2928.319155919481,11.0,Barranquilla,0
67.0,3063.700716645837,10.0,Bogota,0
62.0,3219.9994014750314,11.0,Medellin,1
51.0,,0.0,Bogota,0
41.0,3812.4598771698243,9.0,Barranquilla,0
45.0,3544.3402409551936,14.0,Medellin,0
32.0,2692.7857459820825,11.0,Barranquilla,1
44.0,1956.2281519941812,7.0,Barranquilla,1
38.0,4054.576938561772,7.0,Bogota,0
31.0,4069.8024207987883,6.0,Bogota,0
71.0,3073.362440788994,0.0,Bogota,0
18.0,3687.695457443166,10.0,Bogota,0
23.0,3903.2987484968644,8.0,Medellin,1
28.0,3948.0660073984836,7.0,Bogota,0
70.0,4029.2451259218237,13.0,Barranquilla,0
55.0,2789.9441144049806,10.0,Medellin,0
65.0,4563.475684398246,14.0,Barranquilla,0
28.0,2078.0662475428626,1.0,Bogota,1
56.0,3975.5507692942842,14.0,Bogota,1
37.0,3644.538871127683,8.0,Medellin,0
44.0,3986.257202172052,6.0,Bogota,1
18.0,,8.0,Bogota,0
51.0,4536.000926040784,0.0,Bogota,0
62.0,2169.3407835296075,13.0,Medellin,1
53.0,1680.1955777589287,9.0,Barranquilla,1
26.0,3935.200153148417,0.0,Barranquilla,0
46.0,2286.488825711669,13.0,Cali,1
32.0,3188.835150217238,6.0,Bogota,0
70.0,3955.7547293046746,1.0,Medellin,0
65.0,1720.5823839329726,9.0,Cali,1
28.0,1301.0175911214692,1.0,Bogota,1
