ventas_trimestre,cuota_mercado,inversion_marketing,antiguedad_meses,region,segmento_alto_valor
900000.0,0.21694709973682497,8937.993314607447,58.0,Norteamerica,1
68115.29987747426,0.08634342597981934,7731.230663468252,28.0,Europa,0
102665.04831245335,0.0336517335463275,26744.73509448912,28.0,Europa,0
86263.5430882736,0.1238218482520191,4125.992918886749,1.0,Norteamerica,0
37872.9844207883,0.306308379179968,3494.3896504154472,24.0,Norteamerica,0
115049.6424979906,0.11391837818582995,18526.88810014357,41.0,Norteamerica,0
82063.71437640414,0.2652280838255189,5709.550734249942,19.0,Europa,1
103594.0661683501,0.2676833764253538,18128.78215981687,59.0,Europa,1
140104.96453557917,0.13899183598542084,7246.375944088589,34.0,LATAM,0
93052.89915372976,0.16507287777149074,18260.597039817054,29.0,Norteamerica,0
52765.93970458723,0.271339753063041,20332.737034032863,30.0,LATAM,1
64570.63093258542,0.16197416039696738,9395.91142098894,32.0,Asia,0
115504.78835998713,0.15146486377427687,,22.0,Asia,0
41296.95265917522,0.13962224713708013,6230.759005922257,24.0,Norteamerica,1
92907.67822483608,0.18498447491919043,17320.60520315149,32.0,Asia,1
96257.93498564216,0.1722645508531363,,51.0,LATAM,0
50490.86813155712,0.26631998694491255,6448.27798886815,4.0,Norteamerica,1
90077.91733464011,0.19653468019716944,14682.762165021191,3.0,Europa,1
101686.66571740535,0.26249812490512625,14255.340021512377,42.0,Europa,1
61816.289010662316,0.17253580313890296,11772.478421560554,37.0,LATAM,1
70585.32917505657,0.355127700533988,9479.536226259297,43.0,Norteamerica,1
101313.23583326448,0.17191393658518148,17745.382650044885,49.0,Norteamerica,0
46033.09710008724,0.1698808899354691,8134.706659047775,27.0,Asia,0
58595.362808719154,0.12425583812371929,6890.387059828432,59.0,Asia,0
113616.09144717676,0.061993478202909305,10546.740715053123,30.0,Norteamerica,0
87568.70579222911,0.11951028278866688,15098.890547642179,26.0,LATAM,1
42515.18006729095,0.19499539236550095,9686.666130352223,16.0,Asia,0
85341.2737274087,0.11087265484006861,8229.549661149093,20.0,Norteamerica,0
143237.03399018414,0.23809011304993788,5881.2482804970805,13.0,LATAM,0
900000.0,0.06639498563307665,7210.38385319412,54.0,LATAM,0
109477.33412091267,0.06327959732019642,7982.525783426197,6.0,LATAM,0
107762.06930971512,0.20151216646112471,,19.0,Asia,1
79696.45471096519,0.20690807252429425,1304.4852785696567,32.0,Norteamerica,0
103158.47069811943,0.10134171938603773,9194.727529238884,27.0,Asia,1
64776.97305834644,0.2558280917126709,12310.855939827501,34.0,LATAM,0
131342.36665782006,0.27705461539756476,6648.853684464658,53.0,Asia,1
136604.91370646722,0.20561480148157993,4815.493879114276,17.0,Norteamerica,0
58599.67956200658,0.09064759416279648,15233.753468671921,24.0,Europa,1
78590.38354517947,0.26743547242464727,20154.148615072398,27.0,Norteamerica,1
88956.49581573447,0.16046795486078125,18503.275940033884,11.0,LATAM,1
66238.95078097875,0.16822779591580045,12027.816800569086,16.0,Norteamerica,1
95581.02715587588,0.21427682609333717,9286.162312595003,21.0,LATAM,1
53872.35424778733,0.131987304998278,15872.189048428183,43.0,LATAM,1
102321.43394503152,0.28605280340043143,2082.897123597333,20.0,Norteamerica,1
75980.02042740908,0.13722107697367597,6909.008795007974,41.0,Asia,0
83536.20654688677,0.25504716200626304,20688.685248745136,9.0,Asia,1
99133.649698893,0.23462869196385755,14496.834269869965,55.0,Europa,1
112787.53552094201,0.30432642469642346,12903.60517016734,16.0,LATAM,1
55489.13951790002,0.2160173441077948,10816.048354636081,14.0,Asia,1
108679.44110584655,0.24110999423698723,9659.54113011704,38.0,Norteamerica,0
111372.3124989556,0.15376442793616085,6896.071486330739,41.0,Norteamerica,0
81544.95888800509,0.16489799910177136,15402.118276743624,57.0,Europa,1
131131.53620355352,0.13901257479473475,14979.194767224393,59.0,LATAM,1
62062.02883138957,0.23410317987813353,15065.147270446552,1.0,Asia,1
68637.34662624513,0.13624446347402389,,4.0,Norteamerica,0
96461.74311572914,0.2871101209754084,19633.353252345856,23.0,LATAM,1
64590.72732883375,0.1742551260330995,17102.646726928724,32.0,Norteamerica,1
126780.92796386834,0.09942311710704697,21357.454744946946,49.0,Norteamerica,1
90940.4314472941,0.1357700272686014,8609.366981810545,10.0,LATAM,1
136585.73816553003,0.2632184360341165,0.0,8.0,Asia,0
53375.628823091,0.1488123524234911,,55.0,LATAM,0
56516.20187249956,0.22371106751828057,6661.003336961143,18.0,Europa,0
125071.38688688549,0.07283086461320772,,41.0,Europa,0
53557.48728619088,0.21413902793663903,7471.921287876166,28.0,LATAM,1
117268.57787651512,0.2368131733214447,9197.438072600673,40.0,Norteamerica,1
60783.67104936966,0.21847397040660846,17960.13093542968,5.0,Asia,0
92951.48153525099,0.23811946932703523,17352.16896658708,54.0,Europa,1
119972.00940569263,0.11505305600399875,17804.669268113073,11.0,LATAM,0
83222.70783109807,0.06869248678457124,9200.482100565892,2.0,LATAM,0
50600.28124985487,0.09270999579841036,23200.920864671578,43.0,Norteamerica,1
70387.74691443038,0.2425827852217558,14403.541059882034,47.0,LATAM,1
119155.38181899412,0.212251294163291,6917.135362112821,33.0,LATAM,1
90838.54709881026,0.24035221298134682,14449.408050149934,33.0,Europa,1
106261.5729769282,0.1456436969601366,3531.6771109043057,6.0,Norteamerica,1
87640.67075422115,0.24077809645652837,4538.057973006808,33.0,Asia,0
93681.57780049148,0.07756704453094361,7905.072653466631,5.0,LATAM,0
79389.93045591384,0.21363009005066455,4880.633682453557,6.0,Asia,0
54622.52267607708,0.11301674115188291,9018.426707069077,3.0,Norteamerica,1
101412.93758561707,0.15545964209686045,8090.300198930807,28.0,Norteamerica,0
90590.09343514891,0.2311678749789257,9165.45671032217,6.0,Norteamerica,1
25653.526232965327,0.24653518979228162,6760.129248593903,30.0,,1
85288.21821918996,0.1748266879548168,18699.01416457315,14.0,Europa,0
114274.3198194807,0.1612831493333097,6017.466240575953,24.0,Norteamerica,0
143078.64825364854,0.2800873669417774,,16.0,Norteamerica,1
44456.4201036043,0.25848620676851436,6528.997393602709,47.0,Norteamerica,1
88501.1091258382,0.13944900584928846,8433.366619111966,36.0,Asia,0
