edad,ingreso_mensual,credito_score,mora_dias,monto_transaccion,segmento_cliente,churn
28.0,2693.912235869001,516.5441170068906,3.0,-96.99379571839756,retail,1
27.0,2136.629082265266,646.4825482054679,1.0,461.43740236836624,retail,0
64.0,2105.019161160619,522.5506214418917,2.0,572.2010342336436,pyme,1
47.0,2336.358256725704,664.9279250656119,2.0,104.54884642324402,retail,0
52.0,1726.6623416875498,541.6562329209598,3.0,519.6652601291141,retail,1
53.0,2279.9285969856596,536.2457484607169,5.0,473.20133266504524,retail,1
59.0,2712.0594010669497,660.6721508529524,1.0,588.8092344472805,pyme,1
22.0,3039.0313592505236,642.9607106772157,0.0,301.4078580280085,pyme,0
47.0,2478.053749433704,500.4414470189352,1.0,521.3637943245091,pyme,1
28.0,972.5012769643822,717.3401346264222,4.0,296.2259169889481,retail,1
42.0,,844.6787019635829,1.0,562.6236476161338,corporativo,0
71.0,3014.078497675857,516.6761830138043,1.0,464.06330037624923,retail,0
50.0,,813.7864746900112,1.0,346.28435068300894,retail,0
24.0,3348.970700835035,588.0989518194614,4.0,117.71935818166003,retail,1
50.0,2188.617348161766,605.5318442751702,2.0,791.6519538110538,corporativo,1
28.0,2112.412267881518,633.9001501156032,3.0,673.050099116019,,1
61.0,4710.067646256937,519.9250501401191,3.0,622.6111185503897,retail,0
72.0,3518.806056316373,766.9214492994437,5.0,282.85125302871177,retail,0
73.0,4539.867831600949,694.3424265593602,4.0,8000.0,pyme,0
54.0,4822.9723046586705,582.3691218368148,4.0,796.453247720173,retail,0
67.0,2022.8205167248766,625.0630560840473,2.0,592.8181103400176,retail,1
40.0,3166.005837163586,513.5276505830501,2.0,241.6966824546261,retail,1
28.0,3235.2586545951945,618.7018033829386,1.0,439.36040758656907,pyme,1
48.0,3331.6316128587914,734.2591836295979,1.0,460.3546705372237,retail,0
44.0,3314.8071140179636,495.62392050712634,2.0,385.37624506776484,corporativo,1
56.0,2991.951905066002,610.7383703943908,0.0,221.83507548488691,corporativo,1
74.0,2965.422782037275,663.2112562083031,3.0,705.6033322186656,retail,1
35.0,1372.6250559602818,744.3415411263127,3.0,559.3379787021402,retail,0
67.0,2642.868875974964,771.4397497466516,4.0,386.4504466677233,retail,0
28.0,,608.8472339746988,3.0,83.90211125435434,retail,1
39.0,2919.782940326107,583.3723811081743,1.0,301.7558028494659,pyme,1
63.0,2355.831052939603,690.535969500133,2.0,429.3440377022395,retail,0
34.0,3387.5947136047953,617.3070687270505,3.0,621.4502181993998,corporativo,1
57.0,3578.121924195946,622.0982563945864,3.0,349.35657348867613,retail,1
45.0,3093.2577467581045,747.2165311048711,2.0,674.7495226359977,retail,0
48.0,3100.359737100092,802.0764083301747,1.0,461.9755616221406,pyme,0
71.0,2888.299350702468,673.9280814020879,6.0,267.5087913282456,pyme,0
65.0,2374.5920016859054,632.7006702742051,4.0,-182.92711888983092,retail,1
66.0,2643.7237989788678,701.413576847866,0.0,173.27242183446003,retail,0
50.0,2329.1362398582123,480.1235753513587,2.0,103.87730403514377,retail,1
74.0,3168.5877774385026,648.3575842984066,3.0,398.6681961805979,pyme,1
73.0,2813.407741249874,554.5480839090876,3.0,505.361428767472,pyme,1
28.0,3352.2266386784077,850.0,5.0,738.2160279792271,corporativo,0
32.0,1537.7841039818047,714.8179934729957,4.0,429.8017573287796,retail,0
37.0,3643.389981984628,662.7232862973589,5.0,177.9125156982991,pyme,1
50.0,2075.4385749917906,632.5071833669492,2.0,950.4535032238254,pyme,1
65.0,2102.431923043247,423.65395634979654,4.0,501.58375913079146,,1
47.0,2612.429164381349,714.1524071856513,0.0,375.2377624458578,pyme,0
74.0,2264.7846416514976,796.6432053329589,6.0,375.62795382326124,retail,0
40.0,3076.568935723376,584.4062092626519,3.0,136.03301822173057,retail,0
71.0,2254.5434623582114,711.5064059798573,2.0,573.5318089880618,retail,0
52.0,1783.9963270070207,715.0288840903783,3.0,516.0069198178514,retail,1
59.0,1996.4873320399374,510.6685100475944,2.0,783.4746127610392,corporativo,1
33.0,4046.3841590041366,734.2166312464074,6.0,676.5982387114774,pyme,0
52.0,2842.0454122054107,771.9302968136726,3.0,625.3786374557467,pyme,0
64.0,1690.8462293026207,670.5632106480411,1.0,711.3497912298058,pyme,1
68.0,2807.9585330185496,644.3136204765171,4.0,372.16104034081064,retail,0
67.0,,720.9167141354575,3.0,337.27332949138975,corporativo,1
73.0,4500.088230073693,511.33214221628475,3.0,424.166789900732,corporativo,1
27.0,,658.3952632573428,3.0,161.15629299652073,retail,1
63.0,3254.81506941329,744.8907761493535,3.0,404.0215085258251,retail,0
46.0,3316.444381098516,538.1808201646871,4.0,363.22504594619465,retail,1
58.0,1422.4926338514972,739.3314088237935,3.0,583.092229864114,retail,0
35.0,3085.262692497374,612.3593306956915,5.0,432.9475960685438,corporativo,1
21.0,3747.3134381574714,462.72557417488065,7.0,16.519659611660416,retail,1
25.0,3244.1965214737625,640.4826841193185,5.0,443.2825833396983,pyme,1
73.0,3047.965460379184,562.5293051362419,2.0,748.3447386773378,retail,1
69.0,3701.6418473879544,678.7333676479544,1.0,33.18413810237473,retail,0
37.0,2952.8593214442294,544.5072964248759,1.0,270.1084677060147,retail,1
44.0,3119.6040236732033,744.524831780531,2.0,441.0939803177028,pyme,0
34.0,2679.624030840265,583.5052710318236,4.0,145.75664043232234,retail,1
28.0,3400.215439714702,682.0721745643432,4.0,316.87626658828793,retail,1
67.0,1905.6850601245023,596.5418050910839,4.0,450.2155950502401,retail,1
57.0,3552.1750959305123,620.9385219057704,0.0,147.81890769641848,retail,0
25.0,2319.9635429009113,757.2584040184364,5.0,503.01353774881187,corporativo,1
31.0,1763.8792955921963,669.3750601606896,1.0,528.5206039157789,retail,0
51.0,3146.9865079833708,614.4471117923871,3.0,159.65088010640045,pyme,1
69.0,4408.307773947461,537.364278689836,5.0,444.80847901313666,retail,1
74.0,3713.5943010111996,754.3956146510969,3.0,676.6435911869723,retail,0
32.0,2310.1326637774664,715.9530052358219,4.0,400.60117798149855,pyme,0
54.0,3463.156688398688,620.6117983445367,4.0,535.335576710588,corporativo,1
22.0,2368.5013362646996,671.897991995701,0.0,581.1935042087194,corporativo,0
30.0,2682.1815166705014,557.3380203231508,2.0,388.20720859162657,retail,1
31.0,2885.052068556223,558.6639603317567,2.0,656.2645152491539,,0
44.0,598.6426939444063,575.6431062369888,2.0,524.9550575552356,pyme,1
39.0,2982.034027854359,681.8084496177459,3.0,222.43427638050147,pyme,1
60.0,1821.8712706228944,676.6261304688614,5.0,555.6063358462553,retail,1
46.0,2137.471317217519,582.9227362214565,2.0,631.2088024715285,retail,1
39.0,1399.3291098153175,716.399713666591,1.0,618.235484408295,retail,0
69.0,1359.2696927611066,720.6224186811602,3.0,299.7258027828241,retail,1
54.0,1903.8988193146306,665.5617347865391,5.0,542.7622151560774,pyme,1
58.0,3584.3174305336524,743.4549710979786,3.0,743.8422184142958,retail,0
61.0,4382.739280090396,624.1373794453079,2.0,492.8712775190956,retail,0
39.0,2776.0551516564565,639.8280978246283,2.0,702.9434140436576,pyme,0
69.0,3837.2013868851463,692.5572807433971,1.0,728.7510206668762,pyme,0
21.0,2549.218385465252,646.9360391650213,3.0,434.8156859143751,pyme,1
37.0,983.6258164468777,721.4509278606022,2.0,588.3767052037658,retail,0
29.0,2942.4207852203585,537.25986801255,2.0,379.33663108247725,retail,1
21.0,3223.3658499854428,778.3188553709747,4.0,678.4388599953506,retail,0
74.0,2392.8142729802967,579.6855662371717,1.0,423.6560713126307,retail,0
25.0,3087.1130225022766,635.1771935020761,3.0,322.80736942640476,pyme,1
45.0,3343.9284352288546,526.0211570822023,3.0,438.296268688609,retail,1
65.0,1979.7628107479886,704.0200087855037,6.0,8000.0,pyme,1
58.0,1397.0076073139126,764.6466235876844,4.0,528.278839866819,pyme,1
67.0,2589.8085429250887,746.3942235756905,2.0,546.72125555915,retail,0
23.0,2599.4924867431364,725.0037475035979,7.0,188.22861054710302,retail,1
47.0,,509.85710570384356,1.0,301.29012357487136,retail,1
22.0,3737.8844151612975,579.6048751149533,3.0,523.9384383895052,retail,0
31.0,4439.309349938966,608.3693307883854,1.0,550.762651120512,pyme,0
66.0,2404.1853329153814,565.8739159520845,6.0,463.99521538007644,retail,1
24.0,3463.9423680046143,751.0425707862807,4.0,1024.7913372809833,pyme,0
52.0,3693.884557280589,666.6035881638142,4.0,691.848084237168,retail,0
22.0,3477.498599402212,647.796997619734,3.0,429.24477221707747,retail,1
37.0,3795.1119727732175,693.8782158893156,10.0,606.5964240910502,corporativo,1
71.0,2430.2182284689484,564.3542865954561,2.0,741.008984931737,retail,1
38.0,,568.2484344559527,3.0,527.3626349068965,pyme,1
37.0,4723.257839066515,570.6684208970446,1.0,63.24826749863087,retail,0
25.0,3563.4822814110566,694.7858854069734,5.0,468.9977359438332,retail,0
62.0,2211.101014528888,680.7436741191354,4.0,459.08197717039684,retail,0
30.0,3377.326869237817,702.0283220994959,2.0,917.4483784998313,retail,0
47.0,3999.26127712022,747.0544805776635,4.0,44.2416565449758,retail,0
22.0,3150.536972070147,527.8429226864989,1.0,789.0517170178254,retail,1
22.0,2264.769338664286,599.5555052383475,3.0,414.81870732927155,pyme,1
66.0,4265.926553870498,663.2784284485425,1.0,654.3492744072125,retail,0
21.0,1612.7213057652204,528.6131203539763,3.0,385.49070882859223,,1
46.0,3278.25379432313,602.1042294500327,4.0,488.62626467495636,retail,1
44.0,2784.6332042562285,741.2626012613382,2.0,699.2717277996264,retail,0
27.0,1666.0175610813728,749.2379716583825,3.0,469.11834909330116,retail,0
55.0,3958.477199403801,746.9036203172371,2.0,682.7357868589509,retail,0
60.0,,653.871591749827,5.0,433.2289643586781,pyme,1
74.0,1691.5417317558845,630.9229216661213,4.0,361.0556449618563,retail,1
31.0,3371.641938733751,747.1572221158054,5.0,403.2601196857056,pyme,0
70.0,2389.979592534227,616.4618603201222,5.0,340.91631192990656,pyme,1
24.0,992.35092294123,680.4415091157751,5.0,425.3087676978926,corporativo,0
28.0,2145.5401308700452,769.2751031704901,4.0,751.6041653415529,retail,0
53.0,3050.373875126535,616.9186279669833,3.0,194.68102199600975,corporativo,0
67.0,3403.9177419623175,595.0502929160922,2.0,86.96342055965505,corporativo,0
69.0,2957.286659871859,649.1565854007207,6.0,448.3857151569135,,1
60.0,2842.906760704591,703.8541260922092,3.0,823.2569935211254,retail,0
22.0,3246.490506786099,693.4168114251254,1.0,683.105800482002,pyme,0
43.0,2599.5727031330466,664.027199588957,2.0,744.0050582957599,retail,0
64.0,,700.0778121806335,3.0,728.3170013125243,pyme,0
49.0,,506.03611304696005,1.0,292.9663123321666,retail,1
31.0,3079.225474850039,572.6660606914635,4.0,479.6567185685467,corporativo,1
57.0,3313.7590419684584,664.6903502980497,3.0,-131.61471547588178,retail,1
26.0,1795.689601710746,566.4204629379768,2.0,319.85509924952294,corporativo,1
58.0,,529.2493001891291,3.0,587.7307262818373,retail,1
21.0,4252.150158337825,541.2962131045089,0.0,111.7334195370666,retail,0
40.0,3118.5432558429306,567.3652469097343,2.0,1.0588505192420712,,1
36.0,2531.5147253155806,633.9372598258075,4.0,168.82481511421446,retail,1
71.0,3124.409352370921,557.9636765607523,2.0,503.0177792345389,retail,1
60.0,2342.458876691527,671.1408954650893,2.0,712.0942910854051,pyme,0
56.0,,802.6601728399291,3.0,1024.7148829410203,pyme,1
47.0,2167.422497759445,636.7136321772051,1.0,770.7646693933511,corporativo,0
36.0,3062.2178764722034,764.7229019675946,3.0,122.86613962806393,retail,0
67.0,1301.1825752969412,675.9588567700021,1.0,-53.79928557057036,corporativo,1
72.0,4064.373803982398,549.2158850578886,4.0,490.09740506057983,retail,0
32.0,2312.690020937861,626.9231382510239,1.0,690.6198959645325,pyme,0
34.0,1297.8208628545726,561.6348732626943,3.0,101.94802926761224,pyme,1
38.0,2587.3503901422996,719.1141845831445,2.0,343.42479514688995,retail,0
46.0,2447.5536150177004,546.2214127381851,6.0,359.87779536064875,,1
34.0,2944.778497670429,769.0315430827696,2.0,466.8491560802023,pyme,0
42.0,1712.011921594284,702.0369148313562,6.0,420.2979542782281,retail,1
73.0,3177.5923198007454,467.99209096567483,2.0,573.9469763651207,corporativo,1
40.0,6242.389303949605,720.5907273142783,2.0,693.5195174961734,pyme,0
71.0,1585.2656652938742,789.771472592582,3.0,477.0764451346511,retail,1
48.0,3120.8297969143214,578.8528659546829,7.0,626.8048830526396,pyme,1
39.0,2504.817089032096,738.6726991600669,4.0,900.6370498181499,retail,0
71.0,2982.977880073693,488.1456441468877,5.0,237.66287821049204,pyme,1
44.0,1078.7814140546,672.6940950481402,1.0,232.35903805650847,corporativo,0
62.0,1706.5410814205718,500.474957448189,3.0,575.2759299961325,pyme,1
37.0,3236.6765584425416,693.4151890683497,2.0,871.1445576779662,pyme,0
74.0,2763.5028815745386,489.0833524925661,3.0,500.7411601711176,,1
61.0,4353.476271561432,413.0416813332197,2.0,704.8306146029869,retail,1
68.0,2130.4424773422015,685.6483851726464,4.0,396.9279105206244,retail,1
23.0,2965.774550798575,850.0,1.0,666.6075775990541,retail,0
26.0,5567.4653799109365,596.3897381922485,2.0,327.59299629994723,retail,0
24.0,2072.7166354029646,724.714899197206,2.0,614.2633699262011,corporativo,0
49.0,1941.3581811978406,659.9639986755203,3.0,553.2446021812752,retail,1
42.0,2766.6264193496663,620.8845734337775,2.0,553.4978023269518,corporativo,1
73.0,2757.665455106124,705.3845856593616,1.0,770.0186764689711,retail,0
34.0,3601.958916116408,797.8164841331098,3.0,702.5496747971273,retail,0
30.0,2923.0970791577056,538.8384811529951,2.0,8000.0,retail,1
66.0,2081.0976533637963,700.7507249615362,1.0,663.3884283781961,pyme,0
37.0,3000.850474407198,681.0621886940212,2.0,95.31443522882421,corporativo,0
61.0,5306.666914949769,521.8088896405882,0.0,687.2501265934363,retail,0
36.0,4008.184990338971,795.3239780509158,0.0,1075.120816120257,retail,0
50.0,156.93933825793783,825.4422839777442,1.0,587.4645827383483,pyme,0
25.0,2665.0839320854107,564.2505210184529,7.0,583.0282326043505,retail,1
56.0,1968.6640041465826,806.4110445798565,3.0,485.8056393196528,retail,0
70.0,3391.1493886848934,655.0531506325079,3.0,655.5075442560322,pyme,0
58.0,2635.3996934071047,635.307649504002,3.0,373.80256980313357,retail,0
68.0,4636.060960595434,785.3104050738284,6.0,621.2999705175295,pyme,0
63.0,3684.673785437961,670.4689569690299,2.0,414.4789290227361,corporativo,1
51.0,,679.0858315731762,4.0,381.4326581849368,retail,0
71.0,2977.2425070252243,786.5907477172663,5.0,502.5878300855232,pyme,0
46.0,2761.7172293578487,765.939792754818,0.0,462.5265353916811,retail,0
29.0,3123.1709324308013,730.3834476124632,3.0,94.24534761875907,retail,0
51.0,4030.515801847836,523.9505104453466,4.0,933.2832041553006,retail,1
54.0,3307.670281379157,508.48486928797325,2.0,507.5388876519251,corporativo,1
30.0,2466.4240624542203,751.3527113021505,6.0,103.89744662833533,retail,0
28.0,4011.330425545452,566.5952426921297,1.0,714.2086859876997,retail,1
56.0,2982.504850603872,663.3635191023633,1.0,470.98503798591304,retail,0
44.0,2726.2656897019574,553.3335204451248,3.0,522.3303469710885,retail,1
46.0,2048.1920032710696,633.468212414467,3.0,632.9674718033475,corporativo,1
63.0,2262.307337357157,534.9174386376093,2.0,280.5310679333289,retail,1
58.0,2195.7555592593844,796.7156646718154,4.0,-170.13762113772714,corporativo,0
69.0,147.2606982338043,558.2978813101934,1.0,455.5484745040552,retail,1
30.0,3766.003890378255,639.0205159125794,6.0,530.8088802622561,pyme,1
61.0,3338.15369095642,633.0620466548194,6.0,698.1569159321278,pyme,0
50.0,2596.442937999857,758.5488013943067,3.0,311.0473471296624,pyme,0
22.0,,522.2092199511396,1.0,8000.0,pyme,1
24.0,3216.0883905567225,646.999217082089,4.0,565.4242507303386,pyme,0
40.0,3152.989105021121,631.1689159179105,4.0,407.984319047452,retail,0
55.0,448.9746279002693,697.6932987093925,1.0,8000.0,retail,0
29.0,2578.634876369912,692.4815101262895,3.0,533.653240987513,retail,0
50.0,3305.5796694788905,608.262811945267,4.0,258.44453986160545,retail,1
74.0,4329.202490198825,671.5627392012775,3.0,826.0551255978074,retail,0
28.0,,616.283193598212,5.0,274.60688645113066,corporativo,1
28.0,4154.546333434259,692.1303713652703,3.0,485.4148947890776,retail,0
73.0,1696.4709573779735,640.7677850757814,3.0,404.9227278536944,retail,1
34.0,712.212201267158,590.9987815645023,2.0,321.59905038318675,,1
68.0,3341.9460959715857,647.5198679645929,2.0,595.0251066087905,retail,0
40.0,,682.7405565178569,4.0,699.6701736096693,pyme,1
61.0,3714.4255916348243,850.0,3.0,797.4470447926906,pyme,0
24.0,2680.409854576159,605.789131629277,4.0,605.127511651227,pyme,1
55.0,3008.767215347325,677.599225799542,0.0,378.38366219793585,,0
68.0,1375.0104375961948,781.6733049454571,3.0,666.7176253722649,pyme,0
39.0,3225.6091724010257,462.96481915930667,1.0,159.02983864062355,retail,1
55.0,2377.3464697695226,493.12656221287705,2.0,487.4724141581804,pyme,1
32.0,,543.0206584895755,3.0,591.4713852094529,retail,1
29.0,3236.435693865027,639.7187111448577,3.0,600.4569725254405,retail,1
21.0,2688.638962363149,850.0,3.0,222.62073908501458,retail,0
47.0,3100.9610660082362,685.2230275155796,3.0,146.15841114741517,retail,0
49.0,2787.073320993363,758.7267807512184,1.0,840.864717597862,retail,0
25.0,3521.2395260720837,630.0164584373208,4.0,362.417726903255,retail,0
33.0,3276.655801023667,428.26486121308267,2.0,112.20176514445035,retail,1
53.0,2280.1444494146535,441.7725476503351,5.0,201.55036550945744,pyme,1
40.0,2241.4932129525287,741.6757312105577,2.0,476.81220588643424,retail,0
33.0,4456.55183909108,666.637358825477,1.0,733.0781028203967,retail,0
21.0,2703.484279449677,533.1350748968588,3.0,472.48427533811787,corporativo,1
23.0,3742.217374437227,750.5588613799983,3.0,736.8189064477806,pyme,0
55.0,3173.7164437695546,511.49405220071804,5.0,522.1301197524052,retail,1
27.0,,752.0817910882578,9.0,575.767196270993,retail,1
66.0,2088.4748928933586,780.6206764699377,1.0,688.1951616809981,retail,0
50.0,2914.1194050196214,581.1658961999316,2.0,388.55970940804104,pyme,1
34.0,3043.8216996777223,550.2694665741044,2.0,536.1127520730042,retail,1
55.0,3383.645533487052,725.9894345568587,2.0,385.31013285842334,retail,0
29.0,1596.4132438679853,551.4240279232445,3.0,330.18103981307496,retail,1
38.0,2235.050881695199,727.5697811477876,2.0,614.4252677660538,retail,0
47.0,2709.8771067564576,542.4285099832726,3.0,289.07397649653365,pyme,1
55.0,,722.6820704237742,3.0,487.04391366586395,retail,1
28.0,557.830357905189,658.4480249198059,0.0,295.0774803905858,corporativo,0
40.0,3217.1560657025275,611.0499461004518,0.0,449.1795172878052,pyme,0
25.0,2286.9564343172483,569.3883785638128,9.0,352.413978150673,retail,1
28.0,3209.808475701007,671.3817292869331,3.0,708.8048893871396,retail,0
33.0,2332.6200390338113,479.66054299991725,1.0,485.126190913084,retail,1
38.0,3146.3235103909155,625.1632244975971,4.0,484.1913867112308,corporativo,1
70.0,4286.406138652254,614.3461247694976,6.0,829.3492279009683,retail,0
42.0,3136.4866782842378,711.0523935010086,2.0,-170.86284174236823,retail,0
26.0,3211.7299453539217,537.1561680342365,4.0,219.553889974753,retail,1
70.0,3154.2149940131403,804.2094324735899,3.0,-138.64296534395203,pyme,0
51.0,2087.202155521991,621.9577304497419,2.0,461.95280594541885,corporativo,0
27.0,3315.8669592678757,547.5649229960184,1.0,559.3624594428668,retail,1
25.0,2602.070765405568,774.7470874553418,3.0,604.0232498125014,retail,0
25.0,2028.8720380493528,799.6637933516886,3.0,520.9605012116302,corporativo,0
70.0,2763.379470098955,633.1005200023411,2.0,269.59961682047276,retail,0
51.0,2584.0759502244664,569.8034444615397,2.0,846.6567440462824,corporativo,1
57.0,3515.805805558033,651.4447671781377,6.0,527.6814630838041,retail,1
73.0,2759.302736252352,587.8629438642689,4.0,402.767905751727,retail,0
42.0,2297.030045380506,621.9169814202286,4.0,213.0867739355136,retail,1
69.0,4183.172996935558,790.2586456111112,2.0,551.8515266610516,retail,0
42.0,3738.968374545928,685.2710888510451,3.0,350.8923409453599,retail,0
58.0,4006.2429660376056,663.0854441780338,6.0,359.6133110100714,pyme,1
65.0,3377.2839939138635,681.1410976597485,3.0,503.76828623034703,retail,0
24.0,2695.7859552870773,644.7719174327746,2.0,505.8441519888315,retail,0
60.0,,725.7411075998083,3.0,277.00022396258225,corporativo,1
64.0,2534.6270047004455,729.1361117805658,2.0,733.0561555640029,retail,0
73.0,3700.306079321705,616.7254950959864,5.0,236.57068062144984,pyme,1
57.0,2906.3081162325043,659.4579552837697,1.0,211.05776742955572,pyme,0
28.0,2693.912235869001,516.5441170068906,3.0,-96.99379571839756,retail,1
27.0,2136.629082265266,646.4825482054679,1.0,461.43740236836624,retail,0
64.0,2105.019161160619,522.5506214418917,2.0,572.2010342336436,pyme,1
47.0,2336.358256725704,664.9279250656119,2.0,104.54884642324402,retail,0
52.0,1726.6623416875498,541.6562329209598,3.0,519.6652601291141,retail,1
53.0,2279.9285969856596,536.2457484607169,5.0,473.20133266504524,retail,1
